chrom	start	end	DHB	asym.H3K9me3	asym.methyl	DHS	CTCF	lncRNA	methylated.ZFP57	asym.expression	asym.modification	regulatory.elements	score
chr1	63245300	63247800	smMHB5	5	5	2	0	1	1	1	1	0.8	2.8
chr6	30685300	30689500	smMHB117	5	5	2	0	1	1	1	1	0.8	2.8
chr7	150480600	150483000	smMHB144	5	5	2	0	1	1	1	1	0.8	2.8
chr2	152511500	152514200	smMHB83	5	5	2	0	0	1	1	1	0.6	2.6
chr2	157382900	157388400	smMHB84	5	5	2	0	0	1	1	1	0.6	2.6
chr6	29042200	29043400	smMHB116	4	5	2	0	0	1	1	0.9	0.6	2.5
chr7	6680100	6684200	smMHB132	4	5	2	0	0	1	1	0.9	0.6	2.5
chr7	67147900	67150500	smMHB137	4	5	2	0	0	1	1	0.9	0.6	2.5
chr11	11925100	11927400	smMHB24	5	5	0	1	0	1	1	1	0.4	2.4
chr11	22871600	22874400	smMHB25	5	5	2	0	0	0	1	1	0.4	2.4
chr15	72636900	72642000	smMHB54	5	5	0	0	1	1	1	1	0.4	2.4
chr17	12934000	12936400	smMHB63	5	5	0	0	1	1	1	1	0.4	2.4
chr17	34535400	34536600	smMHB67	5	5	1	0	0	1	1	1	0.4	2.4
chr4	150252400	150254800	smMHB101	5	5	2	0	0	0	1	1	0.4	2.4
chr15	96884800	96890000	smMHB56	4	5	2	0	0	0	1	0.9	0.4	2.3
chr7	135010200	135012200	smMHB141	5	4	1	0	0	1	1	0.9	0.4	2.3
chr8	125384000	125391100	smMHB152	5	4	1	0	0	1	1	0.9	0.4	2.3
chr1	37932000	37933000	smMHB3	5	5	0	0	0	1	1	1	0.2	2.2
chr10	12809400	12812400	smMHB17	5	5	0	0	0	1	1	1	0.2	2.2
chr12	81269400	81272400	smMHB34	5	5	1	0	0	0	1	1	0.2	2.2
chr5	135825200	135827400	smMHB112	5	5	0	0	0	1	1	1	0.2	2.2
chr6	47854200	47856500	smMHB119	5	5	1	0	0	0	1	1	0.2	2.2
chr6	58856200	58857800	smMHB122	5	5	0	0	0	1	1	1	0.2	2.2
chr7	13555800	13557300	smMHB134	5	5	0	0	0	1	1	1	0.2	2.2
chr7	135828400	135833300	smMHB142	5	5	0	0	0	1	1	1	0.2	2.2
chr12	5098000	5102600	smMHB31	5	4	0	0	0	1	1	0.9	0.2	2.1
chr7	6630000	6631200	smMHB130	4	5	0	0	0	1	1	0.9	0.2	2.1
chr1	72385600	72387200	smMHB6	4	4	0	0	0	1	1	0.8	0.2	2
chr1	94814400	94816600	smMHB11	5	3	1	0	0	0	1	0.8	0.2	2
