chrom	start	end	DHB	asym.H3K9me3	asym.methyl	DHS	CTCF	lncRNA	methylated.ZFP57	asym.expression	asym.modification	regulatory.elements	score
chr12	110764400	110769100	spMHB68	5	5	2	0	1	1	1	1	0.8	2.8
chr7	149765700	149768400	spMHB307	5	5	0	0	1	1	1	1	0.4	2.4
chr7	134754400	134756100	spMHB304	5	5	0	0	0	1	1	1	0.2	2.2
chr9	89773700	89776700	spMHB341	5	5	0	0	0	1	1	1	0.2	2.2
chr18	35687200	35688800	spMHB147	2	5	2	0	0	0	1	0.7	0.4	2.1
chr8	34595000	34598800	spMHB313	4	5	0	0	0	1	1	0.9	0.2	2.1
chr16	17210000	17210800	spMHB115	3	5	1	0	0	0	1	0.8	0.2	2
chr7	140975800	140977800	spMHB306	4	5	0	0	0	0	1	0.9	0	1.9
chr10	4382800	4383600	spMHB28	4	4	0	0	0	0	1	0.8	0	1.8
chr10	107531400	107534400	spMHB43	3	3	0	0	0	1	1	0.6	0.2	1.8
chr13	21742200	21745000	spMHB75	3	3	0	0	0	1	1	0.6	0.2	1.8
chr15	6630200	6631600	spMHB100	4	4	0	0	0	0	1	0.8	0	1.8
chr19	6674000	6674600	spMHB157	1	5	0	0	1	0	1	0.6	0.2	1.8
chr5	75182000	75184000	spMHB242	3	3	0	0	0	1	1	0.6	0.2	1.8
chr5	77836500	77839400	spMHB245	0	2	1	1	0	1	1	0.2	0.6	1.8
chr7	36652200	36655200	spMHB291	3	5	0	0	0	0	1	0.8	0	1.8
chr7	135267300	135270100	spMHB305	3	3	0	0	0	1	1	0.6	0.2	1.8
chr1	92948600	92950000	spMHB13	1	4	1	0	0	0	1	0.5	0.2	1.7
chr10	81421000	81424800	spMHB40	3	2	0	0	0	1	1	0.5	0.2	1.7
chr2	72848700	72850400	spMHB174	3	4	0	0	0	0	1	0.7	0	1.7
chr3	14669000	14670600	spMHB188	4	3	0	0	0	0	1	0.7	0	1.7
chr4	55415000	55415800	spMHB215	2	5	0	0	0	0	1	0.7	0	1.7
chr7	25456800	25457600	spMHB284	1	4	1	0	0	0	1	0.5	0.2	1.7
chr7	31616800	31618400	spMHB288	2	5	0	0	0	0	1	0.7	0	1.7
chr8	13813200	13815600	spMHB309	1	4	0	0	0	1	1	0.5	0.2	1.7
chr11	94606600	94607600	spMHB58	1	5	0	0	0	0	1	0.6	0	1.6
chr15	34147600	34150400	spMHB107	2	4	0	0	0	0	1	0.6	0	1.6
chr15	94317600	94318400	spMHB113	2	4	0	0	0	0	1	0.6	0	1.6
chr16	50774000	50776200	spMHB119	1	3	0	0	0	1	1	0.4	0.2	1.6
chr18	10044200	10045300	spMHB144	2	2	0	0	0	1	1	0.4	0.2	1.6
chr4	53139400	53140000	spMHB212	2	4	0	0	0	0	1	0.6	0	1.6
chr5	77505500	77508300	spMHB244	2	4	0	0	0	0	1	0.6	0	1.6
chr6	24667600	24668400	spMHB262	1	5	0	0	0	0	1	0.6	0	1.6
chr8	12969200	12970400	spMHB308	3	3	0	0	0	0	1	0.6	0	1.6
chr8	86001600	86002800	spMHB321	1	5	0	0	0	0	1	0.6	0	1.6
chr11	102573000	102574400	spMHB59	1	4	0	0	0	0	1	0.5	0	1.5
chr13	4353800	4355000	spMHB71	2	3	0	0	0	0	1	0.5	0	1.5
chr16	19069400	19071400	spMHB116	1	2	0	0	0	1	1	0.3	0.2	1.5
chr17	22760500	22761400	spMHB132	2	3	0	0	0	0	1	0.5	0	1.5
chr2	29736500	29737200	spMHB168	3	2	0	0	0	0	1	0.5	0	1.5
chr5	76476600	76477200	spMHB243	1	4	0	0	0	0	1	0.5	0	1.5
chr5	90801200	90802100	spMHB247	1	2	0	0	0	1	1	0.3	0.2	1.5
chr5	134693200	134694000	spMHB254	0	5	0	0	0	0	1	0.5	0	1.5
chr7	30516400	30519200	spMHB286	0	3	0	0	0	1	1	0.3	0.2	1.5
chr9	57328000	57329000	spMHB334	0	5	0	0	0	0	1	0.5	0	1.5
chr11	3915900	3917600	spMHB48	1	3	0	0	0	0	1	0.4	0	1.4
chr15	96390600	96391800	spMHB114	0	4	0	0	0	0	1	0.4	0	1.4
chr16	56038800	56040200	spMHB120	1	3	0	0	0	0	1	0.4	0	1.4
chr16	91456800	91458000	spMHB125	1	3	0	0	0	0	1	0.4	0	1.4
chr2	169034400	169036200	spMHB181	0	2	0	0	0	1	1	0.2	0.2	1.4
chr5	8758000	8760000	spMHB229	2	2	0	0	0	0	1	0.4	0	1.4
chr5	53973900	53975200	spMHB236	0	4	0	0	0	0	1	0.4	0	1.4
chr5	104903400	104905200	spMHB251	3	1	0	0	0	0	1	0.4	0	1.4
chr7	51876700	51877700	spMHB295	1	3	0	0	0	0	1	0.4	0	1.4
chr9	113942900	113943800	spMHB344	2	2	0	0	0	0	1	0.4	0	1.4
chr10	67134600	67137600	spMHB36	0	3	0	0	0	0	1	0.3	0	1.3
chr12	88491000	88495000	spMHB67	1	0	0	0	1	0	1	0.1	0.2	1.3
chr15	74843600	74844400	spMHB110	0	3	0	0	0	0	1	0.3	0	1.3
chr3	36024000	36025500	spMHB192	0	3	0	0	0	0	1	0.3	0	1.3
chr3	87638800	87639600	spMHB199	0	3	0	0	0	0	1	0.3	0	1.3
chr4	151295500	151296400	spMHB227	0	3	0	0	0	0	1	0.3	0	1.3
chr5	31290400	31291000	spMHB232	0	1	0	0	0	1	1	0.1	0.2	1.3
chr6	115003800	115004600	spMHB275	0	3	0	0	0	0	1	0.3	0	1.3
chr7	6996200	6997200	spMHB281	2	1	0	0	0	0	1	0.3	0	1.3
chr7	112411600	112412200	spMHB300	2	1	0	0	0	0	1	0.3	0	1.3
chr1	43911500	43912200	spMHB6	1	1	0	0	0	0	1	0.2	0	1.2
chr1	78951200	78952200	spMHB10	1	1	0	0	0	0	1	0.2	0	1.2
chr1	94384000	94386000	spMHB14	0	2	0	0	0	0	1	0.2	0	1.2
chr13	27255800	27256400	spMHB77	1	1	0	0	0	0	1	0.2	0	1.2
chr13	40926900	40927600	spMHB79	0	2	0	0	0	0	1	0.2	0	1.2
chr17	13283000	13284000	spMHB128	0	2	0	0	0	0	1	0.2	0	1.2
chr2	10618800	10619800	spMHB165	0	2	0	0	0	0	1	0.2	0	1.2
chr3	61842000	61842600	spMHB197	1	1	0	0	0	0	1	0.2	0	1.2
chr3	106475800	106476800	spMHB203	1	1	0	0	0	0	1	0.2	0	1.2
chr4	53416400	53417600	spMHB213	0	0	0	0	1	0	1	0	0.2	1.2
chr5	96548800	96549400	spMHB249	2	0	0	0	0	0	1	0.2	0	1.2
chr6	83166400	83169200	spMHB271	0	2	0	0	0	0	1	0.2	0	1.2
chr6	133849600	133850400	spMHB278	1	1	0	0	0	0	1	0.2	0	1.2
chr7	31232200	31233000	spMHB287	0	2	0	0	0	0	1	0.2	0	1.2
chr8	85274700	85279400	spMHB320	0	2	0	0	0	0	1	0.2	0	1.2
chr10	127266400	127267200	spMHB47	1	0	0	0	0	0	1	0.1	0	1.1
chr12	78511600	78512200	spMHB66	1	0	0	0	0	0	1	0.1	0	1.1
chr12	111578800	111579600	spMHB69	1	0	0	0	0	0	1	0.1	0	1.1
chr18	3092600	3093200	spMHB142	1	0	0	0	0	0	1	0.1	0	1.1
chr18	41985600	41986400	spMHB148	0	1	0	0	0	0	1	0.1	0	1.1
chr2	151706000	151706800	spMHB179	0	1	0	0	0	0	1	0.1	0	1.1
chr5	68099600	68100400	spMHB240	0	1	0	0	0	0	1	0.1	0	1.1
chr5	93767200	93767800	spMHB248	1	0	0	0	0	0	1	0.1	0	1.1
chr6	81785000	81785800	spMHB270	0	1	0	0	0	0	1	0.1	0	1.1
chr6	102335200	102336000	spMHB272	0	1	0	0	0	0	1	0.1	0	1.1
chr9	8173600	8174600	spMHB327	1	0	0	0	0	0	1	0.1	0	1.1
chr1	15852600	15853400	spMHB1	0	0	0	0	0	0	1	0	0	1
chr1	30630800	30633300	spMHB4	4	4	0	0	0	1	0	0.8	0.2	1
chr1	90468800	90469600	spMHB12	0	0	0	0	0	0	1	0	0	1
chr10	77962200	77962800	spMHB39	0	0	0	0	0	0	1	0	0	1
chr10	91048000	91050200	spMHB42	4	4	0	0	0	1	0	0.8	0.2	1
chr15	89541000	89543300	spMHB112	0	0	0	0	0	0	1	0	0	1
chr17	65805600	65806800	spMHB137	0	0	0	0	0	0	1	0	0	1
chr18	82898600	82899800	spMHB155	4	4	0	0	0	1	0	0.8	0.2	1
chr4	102946200	102946800	spMHB220	0	0	0	0	0	0	1	0	0	1
chr6	49842400	49843200	spMHB266	0	0	0	0	0	0	1	0	0	1
chr7	26651400	26653800	spMHB285	0	0	0	0	0	0	1	0	0	1
chr7	127700500	127702700	spMHB301	0	0	0	0	0	0	1	0	0	1
chr8	69710200	69710800	spMHB317	0	0	0	0	0	0	1	0	0	1
chr9	88888000	88888600	spMHB340	0	0	0	0	0	0	1	0	0	1
chr16	91139800	91145000	spMHB124	5	4	0	0	0	0	0	0.9	0	0.9
chr5	4796400	4799200	spMHB228	2	3	0	0	1	1	0	0.5	0.4	0.9
chr18	74052800	74054800	spMHB152	4	3	0	1	0	0	0	0.7	0.2	0.9
chr19	55088600	55091400	spMHB163	2	5	0	0	0	1	0	0.7	0.2	0.9
chr1	84682600	84685200	spMHB11	3	3	0	0	0	1	0	0.6	0.2	0.8
chr13	114593600	114597200	spMHB84	3	5	0	0	0	0	0	0.8	0	0.8
chr14	14765100	14767900	spMHB91	2	4	0	0	1	0	0	0.6	0.2	0.8
chr17	9385600	9388100	spMHB127	3	3	0	0	0	1	0	0.6	0.2	0.8
chr4	23348600	23350600	spMHB210	3	3	0	0	0	1	0	0.6	0.2	0.8
chr4	78305200	78307800	spMHB219	3	1	0	0	1	1	0	0.4	0.4	0.8
chr8	123858400	123860400	spMHB323	1	5	1	0	0	0	0	0.6	0.2	0.8
chr9	31439200	31442400	spMHB332	3	3	0	0	0	1	0	0.6	0.2	0.8
chr14	20103000	20106600	spMHB92	2	1	0	0	1	1	0	0.3	0.4	0.7
chr13	99890600	99891400	spMHB82	3	4	0	0	0	0	0	0.7	0	0.7
chr14	101488200	101490200	spMHB96	2	3	0	0	0	1	0	0.5	0.2	0.7
chr2	129597800	129601200	spMHB178	2	3	0	0	0	1	0	0.5	0.2	0.7
chr4	134214600	134216800	spMHB224	2	5	0	0	0	0	0	0.7	0	0.7
chr4	142568600	142569600	spMHB226	2	3	0	0	0	1	0	0.5	0.2	0.7
chr5	117922600	117923600	spMHB253	1	4	0	0	0	1	0	0.5	0.2	0.7
